item_name,item_detail,color,images,release_date,original_price,size,description,ingredients,store_exclusive,limited_edition,discontinued,item_category
Balm Dotcom,,,https://cdn.shopify.com/s/files/1/0627/9164/7477/products/02_bdc-variant-carousel-trio_2000x.jpg?v=1674592543,,,,,,,,,1
After Baume ,Moisture Barrier Recovery Cream,,https://gfimages.s3.us-east-2.amazonaws.com/afterbaume_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/afterbaume_2.jpg~https://gfimages.s3.us-east-2.amazonaws.com/afterbaume_3.jpg~,2/15/2022,28.00,1.6 fl oz / 50ml,"A puffer jacket for your skin.
What it is: A moisture barrier recovery cream for very dry and/or sensitive skin, especially after exposure to cold weather, harsh sun, mask wearing, acne treatments, over-exuberant exfoliation, and more.","Water/Aqua/Eau, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Orbignya Oleifera Seed Oil, Glycerin, Phytosteryl/Behenyl/Octyldodecyl Lauroyl Glutamate, Theobroma Grandiflorum Seed Butter, Cetearyl Olivate, Glyceryl Stearate, Cetearyl Alcohol, 1,2-Hexanediol, Lactobacillus Ferment Lysate Filtrate, Sorbitan Olivate, Ethyl Linoleate, Inulin Lauryl Carbamate, Chlorella Vulgaris Extract, Leuconostoc/Radish Root Ferment Filtrate, Tocopherol, Arginine, Sclerotium Gum, Propanediol, Sorbitan Isostearate, Lactic Acid, Dimethicone, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxyacetophenone.",FALSE,FALSE,FALSE,1
Cleanser Concentrate,clarifying face wash,,https://cdn.shopify.com/s/files/1/0627/9164/7477/products/Cleanser_Concentrare_-_1_2000x.jpg?v=1656604709~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/Cleanser_Concentrare_-_3_2000x.jpg?v=1660929310~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/Cleanser_Concentrare_-_5_2000x.jpg?v=1660929310~,,21.00,3.3 fl oz / 100ml,"A plant-powered deep clean.
What it is: A highly concentrated cleanser that exfoliates, clarifies, and re-energizes skin in 60 seconds","Water/Aqua/Eau, Decyl Glucoside, Cocamidopropyl Betaine, Chamomilla Recutita (Matricaria) Flower Water, Sodium Lauroyl Sarcosinate, Glycerin, Sodium Lauroyl Lactylate, Niacinamide, Vitis Vinifera (Grape) Juice Extract, Lactic Acid, Sorbitol, Vitis Vinifera (Grape) Fruit Extract, Saccharomyces Ferment, Passiflora Incarnata Fruit Extract, Calendula Officinalis Flower Extract, Malic Acid, Arginine, Tocopherol, Propanediol, Sodium Laurate, Ethylhexylglycerin, Citric Acid, Sodium Hydroxide, Pentylene Glycol, Caprylyl Glycol, Potassium Sorbate, Sodium Benzoate.",FALSE,FALSE,FALSE,1
Futuredew,oil serum hybrid,,https://cdn.shopify.com/s/files/1/0627/9164/7477/products/1_2000x.webp?v=1660932994~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/4_2000x.png?v=1660932994~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/3_2000x.png?v=1660932994~,,26.00,30 ml / 1 fl oz,"An instant dewy glow that lasts.
What it is: A shortcut to the way your skin looks after a full skincare routine—dewy, glowing, cared-for—in one long-wearing product","Water/Aqua/Eau, Glycerin, Squalane, Isoamyl Laurate, Polyglyceryl-3 Polyricinoleate, Butylene Glycol, Simmondsia Chinensis (Jojoba) Seed Oil, Propanediol, Isohexadecane, 1,2-Hexanediol, Oenothera Biennis (Evening Primrose) Oil, Olive Oil Polyglyceryl-6 Esters, Vitis Vinifera (Grape) Seed Oil, Rosa Canina Fruit Oil, Polyglyceryl-6 Pentaoleate, Sodium Hyaluronate, Tocopheryl Acetate, Evodia Rutaecarpa Fruit Extract, Rosmarinus Officinalis (Rosemary) Leaf Oil, Ricinus Communis (Castor) Seed Oil, Hydrogenated Castor Oil, Hydroxyacetophenone, Sodium Chloride, Disteardimonium Hectorite, Propylene Carbonate, Tin Oxide, Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491).",FALSE,FALSE,FALSE,1
Invisible Shield,daily sunscreen +,,https://cdn.shopify.com/s/files/1/0627/9164/7477/products/InvisibleShield_2000x.jpg?v=1656604706~https://images.contentful.com/j9sqbf3tstlg/2zp5VKx3xGqqsioAqQCEo0/6f517c5fb538a1c17c3e6d943c2725aa/Invisible_Shield_Drug_Facts_Panel.jpg~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/Invisible-Shield-carousel-3_2000x.jpg?v=1656604706~,,25.00,1 fl oz / 30 ml,"Sunscreen for people who hate wearing sunscreen.
What it is: A lightweight SPF 35 water-gel formula that feels like a serum and protects against sunburn","Drug Facts
Active Ingredients	Purpose
Avobenzone 3%	Sunscreen
Homosalate 6%	Sunscreen
Octisalate 5%	Sunscreen
Uses
Helps prevent sunburn
If used as directed with other sun protection measures (see Directions below), decreases the risk of skin cancer and early skin aging caused by the sun.
Warnings
For external use only
Do not use on damaged or broken skin When using this product keep out of eyes.
Rinse with water to remove.
Stop use and ask a doctor if rash occurs.
Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away.
Reapply at least every 2 hours
Use a water-resistant sunscreen if swimming or sweating
Sun Protection Measures. Spending time in the sun increases your risk of skin cancer and early skin aging. To decrease this risk, regularly use a sunscreen with a Broad Spectrum SPF value of 15 or higher and other sun protection measures including:
Limit time in the sun, especially from 10 a.m.-2 p.m.
Wear long-sleeved shirts, pants, hats, and sunglasses *. Children under 6 months of age: Ask a doctor.
Other Information
Protect the product in this container from excessive heat and direct sun.

Inactive Ingredients
Water, Butyloctyl Salicylate, Dipropylene Glycol, Methyl Trimethicone, Biosaccharide Gum-4, Caprylyl Methicone, Propanediol, Bis-Ethylhexyl Hydroxydimethoxy Benzylmalonate, Betaine, Acrylates Copolymer, Ammonium AcryloyldimethyltaurateNP Copolymer, Hydroxyacetophenone, Phenoxyethanol, Hydrolyzed Wheat Protein/PVP Crosspolymer, Dibutyl Lauroyl Glutamide, Dibutyl Ethylhexanoyl Glutamide, Citrus Aurantium Dulcis (Orange) Peel Oil, Dipotassium Glycyrrhizate, Carbomer, Tocopheryl Acetate, Aminomethyl Propanol, Butylene Glycol, Hippophae Rhamnoides Fruit Extract Disodium EDTA, Pentylene Glycol, Aloe Barbadensis Leaf Extract, Silica, Bioflavonoids, Potassium Sorbate, Hydroxyphenyl Propamidobenzoic Acid, Brassica Oleracea Italica (Broccoli) Extract, Ethylhexylglycerin, Camellia Sinensis Leaf Extract, Ascorbyl Palmitate.",FALSE,FALSE,FALSE,1
Mega Greens Galaxy Pack,detoxifying face mask,,https://cdn.shopify.com/s/files/1/0627/9164/7477/products/mega_greens_alt_hand_1_2000x.webp?v=1661278690~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/Glossier-Mega-Greens-Galaxy-Pack-05_2000x.webp?v=1661278690~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/Glossier-Mega-Greens-Galaxy-Pack-06_2000x.webp?v=1661278689~,2/4/2015,24.00,3 fl oz,"Press the reset button on your skin.
What it is: A deeply cleansing and detoxifying mask to help manage excess oil","Water/Aqua/Eau, Kaolin, Glycerin, Magnesium Aluminum Silicate, Cetearyl Alcohol, Persea Gratissima (Avocado) Oil, Caprylic/Capric Triglyceride, Polysorbate 60, Phenoxyethanol, Oryza Sativa (Rice) Bran Extract, Xanthan Gum, Citrus Aurantium Amara (Bitter Orange) Peel Powder, Citric Acid, Helianthus Annuus (Sunflower) Extract, Ethylhexylglycerin, Trisodium Ethylenediamine Disuccinate, Potassium Sorbate, Linum Usitatissimum (Linseed) Seed Oil, Aloe Barbadensis Leaf Juice, Tocopherol, Rosmarinus Officinalis (Rosemary) Leaf Extract, Lecithin, Vaccinium Myrtillus Fruit Extract, Punica Granatum (Pomegranate) Fruit Extract, Morinda Citrifolia Fruit Extract, Lycium Barbarum Fruit Extract, Garcinia Mangostana Fruit Extract, Euterpe Oleracea Fruit Extract, Aronia Arbutifolia Fruit Extract, Aristotelia Chilensis Fruit Extract, Lepidium Sativum Sprout Extract, Propanediol, Chlorphenesin, Sorbic Acid, Benzoic Acid, Spinacia Oleracea (Spinach) Leaf Extract, Petroselinum Crispum (Parsley) Leaf Extract, Chlorophyllin-Copper Complex (CI 75810).",FALSE,FALSE,FALSE,1
Milky Jelly Cleanser,conditioning face wash,,https://cdn.shopify.com/s/files/1/0627/9164/7477/products/MilkyJelly_Carousel_1_2000x.webp?v=1651799493~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/MilkyJelly_Carousel_5_2000x.webp?v=1651799494~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/MilkyJelly_Carousel_2_2000x.webp?v=1651799493~,,19.00,6 fl oz / 177 ml,"A super gentle cleansing experience.
What it is: A nourishing (and pH-balanced), creamy gel face wash that’s kind to every skin type under the sun.","Full size: Water/Aqua/Eau, Rosa Damascena Flower Water, PEG-7 Glyceryl Cocoate, Propanediol, Isohexadecane, Poloxamer 184, Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, Xylitylglucoside, Betaine, Allantoin, Glycerin, Panthenol, Symphytum Officinale Root Extract, Sodium Hyaluronate, Anhydroxylitol, Polysorbate 80, Xylitol, Ammonium Polyacryloyldimethyl Taurate, Isopropyl Myristate, Benzoic Acid, Ethylhexylglycerin, Sodium Hydroxide

Mini: Water/Aqua/Eau, Rosa Damascena Flower Water, PEG-7 Glyceryl Cocoate, Propanediol, Isohexadecane, Poloxamer 184, Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, Xylitylglucoside, Betaine, Allantoin, Glycerin, Panthenol, Symphytum Officinale Root Extract, Sodium Hyaluronate, Anhydroxylitol, Polysorbate 80, Xylitol, Ammonium Polyacryloyldimethyl Taurate, Isopropyl Myristate, Benzoic Acid, Ethylhexylglycerin, Sodium Hydroxide

Please be aware that as we continue to evolve our product portfolio, ingredient lists may change or vary. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients, and reach out to gteam@glossier.com with any questions",FALSE,FALSE,FALSE,1
Milky Oil,waterproof makeup remover,,https://cdn.shopify.com/s/files/1/0627/9164/7477/products/01_ShopGrid_2000x.jpg?v=1656604711~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/02_Product__1_2000x.jpg?v=1656604711~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/04_Product_2000x.jpg?v=1656604711~,,14.00,3.4 fl oz / 100 ml,"Tough on makeup, nice to skin.
What it is: A gentle makeup remover that melts off and lifts away long-wearing and waterproof formulas, without rubbing or tugging the skin","Aqua/Water/Eau, Isohexadecane, PEG-40 Hydrogenated Castor Oil, Panthenol, Glycerin, PPG-26-Buteth-26, Symphytum Officinale Root Extract, Sodium Benzoate, Disodium EDTA, Citric Acid, Sodium Chloride.",FALSE,FALSE,FALSE,1
Moisturizing Moon Mask,soothing face treatment,,https://cdn.shopify.com/s/files/1/0627/9164/7477/products/MoonMask_2000x.jpg?v=1656604710~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/MoonMask__1_2000x.jpg?v=1656604710~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/Glossier-Moisturizing-Moon-Mask-05_2000x.jpg?v=1656604710~,,24.00,3 fl oz,"The most intensely hydrating mask we could make.
What it is: A creamy, dreamy, works-on-all-skin-types mask for deep hydration","Aqua/Water/Eau, Dimethicone, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Glycerin, Polysorbate 20, Urea, Butylene Glycol, Butyrospermum Parkii (Shea) Butter, Glycine Soja (Soybean) Oil, Cetyl Alcohol, Cyclopentasiloxane, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Dimethicone/Vinyl Dimethicone Crosspolymer, Phenoxyethanol, Squalane, Tropaeolum Majus Flower/Leaf/Stem Extract, Cyclohexasiloxane, Mel/Honey/Miel, Tocopheryl Acetate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Benzophenone-4, Glyceryl Stearate, PEG-100 Stearate, Betaine, Polysorbate 60, Aloe Barbadensis Leaf Juice, Disodium EDTA, Ethylhexylglycerin, Sodium Hydroxide, Glycyrrhiza Glabra (Licorice) Root Extract, Tremella Fuciformis Sporocarp Extract, Beta-Glucan, 1,2-Hexanediol, Caprylyl Glycol, Citrus Limon (Lemon) Fruit Extract, Hyaluronic Acid.",FALSE,FALSE,FALSE,1
Priming Moisturizer Rich,luxurious face cream,,https://cdn.shopify.com/s/files/1/0627/9164/7477/products/glossier-prm_1_v2_2000x.jpg?v=1669905634~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/PMR_Carousel-06-compressor_2000x_d2194dfe-c61d-4891-a8ae-6c3ffef24469_2000x.jpg?v=1676656360https://cdn.shopify.com/s/files/1/0627/9164/7477/products/PMR_Carousel-01-compressor_2000x_670b4dd9-4044-44b3-8da7-724a17d2fab3_2000x.webp?v=1676656360~,,35.00,50ml / 1.7 fl oz,"An ultrarich, buttery moisturizer.
What it is: A rich, deeply moisturizing yet fast-absorbing face cream for day or night that’s now vegan, formulated without fragrance and delivers even longer-lasting hydration.","Water/Aqua/Eau, Caprylic/Capric Triglyceride, Propanediol, Glycerin, Squalane, Orbignya Oleifera Seed Oil, Cetearyl Olivate,Sorbitan Olivate, Pentaerythrityl Tetraisostearate, Pseudozyma Epicola/Camellia Japonica Seed Oil Ferment Extract Filtrate,Sodium Hyaluronate Crosspolymer, Ceramide NP, Ceramide AP, Buddleja Officinalis Flower Extract, Lithothamnion Calcareum Extract, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Amylopectin, Acrylates/C10‐30 Alkyl Acrylate Crosspolymer, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Caprylyl/Capryl Glucoside, Glyceryl Stearate, Caprylyl Glycol, Cetearyl Alcohol, Pentylene Glycol, Sorbitan Isostearate, Xanthan Gum, 1,2‐Hexanediol, Hydroxyacetophenone, Polyisobutene, Polysorbate 60, Lactic Acid, Potassium Sorbate, Sodium Benzoate, Potassium Hydroxide",FALSE,FALSE,FALSE,1
